Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2017-09-28,15.800000,23.500000,15.750000,23.500000,39265900,0.000000,0.000000,15.800000,23.500000,15.750000,23.500000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,922748650.000000,
2017-09-29,26.740000,29.799999,25.469999,26.540001,44294700,0.000000,0.000000,26.740000,29.799999,25.469999,26.540001,,,,,,,,,,50.000000,,,,,,,0.129362,,,,,,,0.000000,,,,1175581382.294700,
2017-10-02,25.200001,26.280001,23.260000,23.559999,16008400,0.000000,0.000000,25.200001,26.280001,23.260000,23.559999,,,,,,,,,,50.000000,,,,,,,-0.112283,,,,,,,-0.112283,,,,377157887.991600,
2017-10-03,23.010000,23.020000,20.770000,20.809999,13678500,0.000000,0.000000,23.010000,23.020000,20.770000,20.809999,,,,,,,,,,50.000000,,,,,,,-0.116723,,,,,,,-0.215901,,,,284649571.321500,
2017-10-04,21.290001,22.600000,20.820000,20.850000,9345700,0.000000,0.000000,21.290001,22.600000,20.820000,20.850000,,,,,,,,,,50.000000,,,,,,,0.001922,,,,,,,-0.214393,,,,194857845.000000,
2017-10-05,21.400000,22.200001,21.350000,22.010000,6361600,0.000000,0.000000,21.400000,22.200001,21.350000,22.010000,,,,,,,,,,50.000000,,,,,,,0.055635,-0.063404,,,,,,-0.170686,,,,140018816.000000,
2017-10-06,22.480000,23.370001,22.000000,23.200001,7058800,0.000000,0.000000,22.480000,23.370001,22.000000,23.200001,,,,,,,,,,50.000000,,,,,,,0.054066,-0.125848,,,,,,-0.125848,,,,163764167.058800,
2017-10-09,23.850000,25.350000,23.559999,24.540001,7740800,0.000000,0.000000,23.850000,25.350000,23.559999,24.540001,,,,,,,,,,50.000000,,,,,,,0.057759,0.041596,,,,,,-0.075358,,,,189959239.740800,
2017-10-10,25.190001,25.600000,22.700001,22.930000,7479300,0.000000,0.000000,25.190001,25.600000,22.700001,22.930000,,,,,,,,,,50.000000,,,,,,,-0.065607,0.101874,,,,,,-0.136021,,,,171500349.000000,
2017-10-11,23.809999,24.330000,23.200001,23.660000,5449300,0.000000,0.000000,23.809999,24.330000,23.200001,23.660000,,,,,,,,,,50.000000,,,,,,,0.031836,0.134772,,,,,,-0.108515,,,,128930438.000000,
