Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2018-05-25,19.209999,19.950001,18.541000,19.410000,363300,0.000000,0.000000,19.209999,19.950001,18.541000,19.410000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,7051653.000000,
2018-05-29,19.450001,19.927999,17.049999,17.209999,330800,0.000000,0.000000,19.450001,19.927999,17.049999,17.209999,,,,,,,,,,50.000000,,,,,,,-0.113344,,,,,,,-0.113344,,,,5693067.669200,
2018-05-30,17.270000,17.969999,17.200001,17.200001,162000,0.000000,0.000000,17.270000,17.969999,17.200001,17.200001,,,,,,,,,,50.000000,,,,,,,-0.000581,,,,,,,-0.113859,,,,2786400.162000,
2018-05-31,17.250000,17.469999,16.540001,17.110001,193800,0.000000,0.000000,17.250000,17.469999,16.540001,17.110001,,,,,,,,,,50.000000,,,,,,,-0.005233,,,,,,,-0.118496,,,,3315918.193800,
2018-06-01,17.850000,18.968000,17.410000,17.799999,120300,0.000000,0.000000,17.850000,18.968000,17.410000,17.799999,,,,,,,,,,50.000000,,,,,,,0.040327,,,,,,,-0.082947,,,,2141339.879700,
2018-06-04,18.100000,18.250000,18.000000,18.030001,46800,0.000000,0.000000,18.100000,18.250000,18.000000,18.030001,,,,,,,,,,50.000000,,,,,,,0.012921,-0.071097,,,,,,-0.071097,,,,843804.046800,
2018-06-05,18.330000,19.740000,18.000000,18.240000,198800,0.000000,0.000000,18.330000,19.740000,18.000000,18.240000,,,,,,,,,,50.000000,,,,,,,0.011647,0.059849,,,,,,-0.060278,,,,3626112.000000,
2018-06-06,18.299999,18.455000,17.740000,18.000000,94900,0.000000,0.000000,18.299999,18.455000,17.740000,18.000000,,,,,,,,,,50.000000,,,,,,,-0.013158,0.046512,,,,,,-0.072643,,,,1708200.000000,
2018-06-07,17.740000,18.000000,17.250000,17.360001,124500,0.000000,0.000000,17.740000,18.000000,17.250000,17.360001,,,,,,,,,,50.000000,,,,,,,-0.035555,0.014611,,,,,,-0.105616,,,,2161320.124500,
2018-06-08,17.389999,19.820000,17.290001,17.370001,133000,0.000000,0.000000,17.389999,19.820000,17.290001,17.370001,,,,,,,,,,50.000000,,,,,,,0.000576,-0.024157,,,,,,-0.105100,,,,2310210.133000,
2018-06-11,17.670000,17.809999,17.500000,17.770000,38500,0.000000,0.000000,17.670000,17.809999,17.500000,17.770000,,,,,,,,,,50.000000,,,,,,,0.023028,-0.014420,,,,,,-0.084493,,,,684145.000000,
2018-06-12,17.900000,18.500000,17.860001,18.209999,96200,0.000000,0.000000,17.900000,18.500000,17.860001,18.209999,,,,,17.803298,,,,,50.000000,,,,,,,0.024761,-0.001645,,,,,,-0.061824,,,,1751801.903800,
2018-06-13,18.320000,19.113001,18.120001,18.320000,101000,0.000000,0.000000,18.320000,19.113001,18.120001,18.320000,,,,,17.893017,,,,,50.000000,,,,,,,0.006041,0.017778,,,,,,-0.056157,,,,1850320.000000,
2018-06-14,18.230000,19.100000,18.066000,18.799999,102200,0.000000,0.000000,18.230000,19.100000,18.066000,18.799999,,,,,18.047447,,,,,50.000000,,,,,1.165729,0.062007,0.026201,0.082949,,,,,,-0.031427,,,,1921359.897800,
2018-06-15,18.900000,19.070000,17.780001,18.290001,121000,0.000000,0.000000,18.900000,19.070000,17.780001,18.290001,,,,,18.088079,,,,,47.484870,,,,,1.178958,0.064459,-0.027128,0.052965,,,,,,-0.057702,,,,2213090.121000,
2018-06-18,18.299999,18.393999,17.440001,17.500000,77000,0.000000,0.000000,18.299999,18.393999,17.440001,17.500000,,,,,17.990895,,,,,38.620565,,,,,1.155820,0.066047,-0.043193,-0.015194,,,,,,-0.098403,,,,1347500.000000,
2018-06-19,17.590000,19.145000,17.334000,19.000000,86100,0.000000,0.000000,17.590000,19.145000,17.334000,19.000000,,,,,18.155776,,,,,55.577313,,,,,1.221154,0.064271,0.085714,0.043383,,,,,,-0.021123,,,,1635900.000000,
2018-06-20,19.200001,20.350000,18.600000,20.350000,130600,0.000000,0.000000,19.200001,20.350000,18.600000,20.350000,,,,,18.510907,,,,,64.959723,,,,,1.272439,0.062528,0.071053,0.110808,,,,,,0.000000,,,,2657710.000000,
2018-06-21,20.500000,21.000000,18.500000,19.250000,139400,0.000000,0.000000,20.500000,21.000000,18.500000,19.250000,,,,,18.629578,,,,,54.802923,,,,,1.388517,0.072131,-0.054054,0.023936,,,,,,-0.054054,,,,2683450.000000,
2018-06-22,19.410000,19.820999,18.714001,19.219999,75300,0.000000,0.000000,19.410000,19.820999,18.714001,19.219999,18.222000,,,,18.723745,,,,,54.552396,18.222000,19.981815,16.462185,0.783552,1.362499,0.070890,-0.001558,0.050847,,,,,,-0.055528,,,136775.000000,1447265.924700,
2018-06-25,19.070000,20.000000,17.650000,17.900000,100400,0.000000,0.000000,19.070000,20.000000,17.650000,17.900000,18.146500,,,,18.593102,,,,,44.839773,18.146500,19.819118,16.473882,0.426313,1.451889,0.081111,-0.068678,0.022857,,,,,,-0.120393,,,123630.000000,1797160.000000,
