Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2022-01-27,12.100000,12.500000,10.800000,11.650000,5371700,0.000000,0.000000,12.100000,12.500000,10.800000,11.650000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,62580305.000000,
2022-01-28,11.640000,12.325000,11.050000,11.190000,1317000,0.000000,0.000000,11.640000,12.325000,11.050000,11.190000,,,,,,,,,,50.000000,,,,,,,-0.039485,,,,,,,-0.039485,,,,14737230.000000,
2022-01-31,11.440000,12.490000,11.200000,12.120000,838400,0.000000,0.000000,11.440000,12.490000,11.200000,12.120000,,,,,,,,,,50.000000,,,,,,,0.083110,,,,,,,0.000000,,,,10161408.000000,
2022-02-01,12.120000,13.700000,11.820000,12.800000,833000,0.000000,0.000000,12.120000,13.700000,11.820000,12.800000,,,,,,,,,,50.000000,,,,,,,0.056106,,,,,,,0.000000,,,,10662400.000000,
2022-02-02,13.090000,13.415000,12.800000,13.400000,2621600,0.000000,0.000000,13.090000,13.415000,12.800000,13.400000,,,,,,,,,,50.000000,,,,,,,0.046875,,,,,,,0.000000,,,,35129440.000000,
2022-02-03,13.220000,13.290000,12.400000,12.820000,710800,0.000000,0.000000,13.220000,13.290000,12.400000,12.820000,,,,,,,,,,50.000000,,,,,,,-0.043284,0.100429,,,,,,-0.043284,,,,9112456.000000,
2022-02-04,12.870000,13.750000,12.870000,13.070000,345800,0.000000,0.000000,12.870000,13.750000,12.870000,13.070000,,,,,,,,,,50.000000,,,,,,,0.019501,0.168007,,,,,,-0.024627,,,,4519606.000000,
2022-02-07,13.390000,13.750000,13.130000,13.520000,504600,0.000000,0.000000,13.390000,13.750000,13.130000,13.520000,,,,,,,,,,50.000000,,,,,,,0.034430,0.115512,,,,,,0.000000,,,,6822192.000000,
2022-02-08,13.570000,14.120000,13.520000,13.940000,463200,0.000000,0.000000,13.570000,14.120000,13.520000,13.940000,,,,,,,,,,50.000000,,,,,,,0.031065,0.089062,,,,,,0.000000,,,,6457008.000000,
2022-02-09,14.120000,15.370000,14.120000,14.640000,591900,0.000000,0.000000,14.120000,15.370000,14.120000,14.640000,,,,,,,,,,50.000000,,,,,,,0.050215,0.092537,,,,,,0.000000,,,,8665416.000000,
2022-02-10,14.740000,15.629000,14.700000,15.190000,584600,0.000000,0.000000,14.740000,15.629000,14.700000,15.190000,,,,,,,,,,50.000000,,,,,,,0.037568,0.184867,,,,,,0.000000,,,,8880074.000000,
2022-02-11,15.300000,16.389999,15.011000,15.300000,656100,0.000000,0.000000,15.300000,16.389999,15.011000,15.300000,,,,,13.968663,,,,,50.000000,,,,,,,0.007242,0.170620,,,,,,0.000000,,,,10038330.000000,
2022-02-14,14.179000,15.670000,14.179000,14.860000,382400,0.000000,0.000000,14.179000,15.670000,14.179000,14.860000,,,,,14.123433,,,,,50.000000,,,,,,,-0.028758,0.099112,,,,,,-0.028758,,,,5682464.000000,
2022-02-15,14.790000,15.390000,14.790000,14.990000,327200,0.000000,0.000000,14.790000,15.390000,14.790000,14.990000,,,,,14.270982,,,,,50.000000,,,,,1.100157,0.073393,0.008748,0.075323,,,,,,-0.020261,,,,4904728.000000,
2022-02-16,15.000000,15.390000,14.310000,15.070000,503200,0.000000,0.000000,15.000000,15.390000,14.310000,15.070000,,,,,14.404831,,,,,76.818164,,,,,1.098011,0.072861,0.005337,0.029372,,,,,,-0.015033,,,,7583224.000000,
2022-02-17,14.990000,15.400000,14.880000,15.120000,236800,0.000000,0.000000,14.990000,15.400000,14.880000,15.120000,,,,,14.523018,,,,,77.152658,,,,,1.038561,0.068688,0.003318,-0.004608,,,,,,-0.011765,,,,3580416.000000,
2022-02-18,15.000000,15.450000,14.521000,15.200000,266600,0.000000,0.000000,15.000000,15.450000,14.521000,15.200000,,,,,14.633633,,,,,77.706918,,,,,1.027636,0.067608,0.005291,-0.006536,,,,,,-0.006536,,,,4052320.000000,
2022-02-22,15.730000,16.000000,15.250000,15.620000,464100,0.000000,0.000000,15.730000,16.000000,15.250000,15.620000,,,,,14.793274,,,,,80.395799,,,,,1.005561,0.064376,0.027632,0.051144,,,,,,0.000000,,,,7249242.000000,
2022-02-23,15.850000,16.270000,15.080000,15.120000,469800,0.000000,0.000000,15.850000,16.270000,15.080000,15.120000,,,,,14.845734,,,,,69.628776,,,,,1.023001,0.067659,-0.032010,0.008672,,,,,,-0.032010,,,,7103376.000000,
2022-02-24,14.580000,15.010000,13.963000,14.930000,431600,0.000000,0.000000,14.580000,15.010000,13.963000,14.930000,14.027500,,,,14.859174,,,,,66.010959,14.027500,16.743828,11.311172,0.666125,1.035386,0.069349,-0.012566,-0.009290,,,,,,-0.044174,,,896020.000000,6443788.000000,
2022-02-25,15.030000,15.530000,15.000000,15.330000,278600,0.000000,0.000000,15.030000,15.530000,15.000000,15.330000,14.211500,,,,14.933845,,,,,69.592941,14.211500,16.741924,11.681076,0.721010,0.995974,0.064969,0.026792,0.013889,,,,,,-0.018566,,,641365.000000,4270938.000000,
2022-02-28,15.230000,16.959999,15.010000,16.900000,650000,0.000000,0.000000,15.230000,16.959999,15.010000,16.900000,14.497000,,,,15.244197,,,,,78.963750,14.497000,16.875979,12.118021,1.005049,1.080716,0.063948,0.102414,0.111842,0.450644,,,,0.605511,0.000000,,,608015.000000,10985000.000000,
2022-03-01,16.799999,16.799999,15.060000,15.220000,641800,0.000000,0.000000,16.799999,16.799999,15.060000,15.220000,14.652000,,,,15.240392,,,,,58.269901,14.652000,16.768348,12.535652,0.634193,1.147006,0.075362,-0.099408,-0.025608,0.360143,,,,0.705244,-0.099408,,,598185.000000,9768196.000000,
2022-03-02,16.000000,16.600000,16.000000,16.360001,315100,0.000000,0.000000,16.000000,16.600000,16.000000,16.360001,14.830000,,,,15.415823,,,,,64.977166,14.830000,16.888543,12.771457,0.871622,1.167030,0.071334,0.074902,0.082011,0.349835,,,,0.695869,-0.031953,,,572290.000000,5155036.315100,
2022-03-03,17.100000,18.000000,16.040001,16.100000,665000,0.000000,0.000000,17.100000,18.000000,16.040001,16.100000,14.965000,,,,15.522723,,,,,62.509444,14.965000,16.982403,12.947597,0.781302,1.234205,0.076659,-0.015892,0.078366,0.257812,,,,0.687322,-0.047337,,,474460.000000,10706500.000000,
2022-03-04,15.960000,16.540001,15.085000,15.660000,398800,0.000000,0.000000,15.960000,16.540001,15.085000,15.660000,15.107000,,,,15.544120,15.112510,0.431610,,,58.462954,15.107000,16.872805,13.341195,0.656586,1.252664,0.079991,-0.027329,0.021526,0.168657,,,,0.687780,-0.073373,,,458860.000000,6245208.000000,
2022-03-07,15.600000,16.280001,15.440000,15.860000,467000,0.000000,0.000000,15.600000,16.280001,15.440000,15.860000,15.246500,,,,15.593257,15.175803,0.417454,,,59.738753,15.246500,16.757112,13.735888,0.703063,1.218579,0.076833,0.012771,-0.061538,0.237129,,,,0.661680,-0.061538,,,464920.000000,7406620.000000,
2022-03-08,15.840000,16.260000,14.810000,15.730000,607500,0.000000,0.000000,15.840000,16.260000,14.810000,15.730000,15.357000,,,,15.614492,15.222237,0.392255,,,58.481385,15.357000,16.642385,14.071615,0.645093,1.237483,0.078670,-0.008197,0.033509,0.203520,,,,0.664155,-0.069231,,,470065.000000,9555975.000000,
2022-03-09,16.040001,16.580000,15.380000,16.440001,747400,0.000000,0.000000,16.040001,16.580000,15.380000,16.440001,15.482000,,,,15.742501,15.323287,0.419214,,,63.055022,15.482000,16.669702,14.294298,0.903300,1.234452,0.075088,0.045137,0.004890,0.215976,,,,0.670188,-0.027219,,,484275.000000,12287256.747400,
2022-03-10,16.910000,16.950001,15.820000,16.160000,996800,0.000000,0.000000,16.910000,16.950001,15.820000,16.160000,15.558000,,,,15.807162,15.392105,0.415057,,,60.236857,15.558000,16.712918,14.403082,0.760624,1.226085,0.075872,-0.017032,0.003727,0.159254,,,,0.672031,-0.043787,,,504520.000000,16108288.000000,
2022-03-11,16.200001,16.200001,14.900000,15.510000,747700,0.000000,0.000000,16.200001,16.200001,14.900000,15.510000,15.574000,,,,15.761186,15.401723,0.359463,,,54.182798,15.574000,16.716249,14.431751,0.471985,1.231955,0.079430,-0.040223,-0.009579,0.059426,,,,0.673324,-0.082249,,,512675.000000,11596827.000000,
2022-03-14,15.550000,15.715000,12.830000,13.670000,1049200,0.000000,0.000000,15.550000,15.715000,12.830000,13.670000,15.492500,,,,15.437924,15.261500,0.176423,,,41.475233,15.492500,16.915231,14.069769,-0.140493,1.362186,0.099648,-0.118633,-0.138083,-0.100066,,,,0.782604,-0.191124,,,532330.000000,14342564.000000,
2022-03-15,13.740000,14.455000,13.330000,14.300000,338200,0.000000,0.000000,13.740000,14.455000,13.330000,14.300000,15.464500,,,,15.262149,15.184178,0.077971,,,46.133527,15.464500,16.959833,13.969167,0.110622,1.343637,0.093961,0.046086,-0.090909,-0.065359,,,,0.800884,-0.153846,,,530120.000000,4836260.000000,
2022-03-16,14.420000,15.110000,14.220000,14.630000,681200,0.000000,0.000000,14.420000,15.110000,14.220000,14.630000,15.446500,,,,15.164562,15.139893,0.024669,0.220416,-0.195747,48.448197,15.446500,16.974199,13.918801,0.232768,1.308398,0.089433,0.023077,-0.110097,-0.015478,,,,0.799176,-0.134320,,,547820.000000,9965956.000000,
