Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,73.010002,73.470001,71.169998,72.080002,370300,0.000000,0.000000,60.019892,60.398047,58.507266,59.255360,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,26691224.740600,
2015-01-05,72.040001,72.040001,69.230003,69.489998,735400,0.000000,0.000000,59.222479,59.222479,56.912443,57.126179,,,,,,,,,,50.000000,,,,,,,-0.035932,,,,,,,-0.035932,,,,51102944.529200,
2015-01-06,69.550003,70.000000,67.680000,68.809998,954900,0.000000,0.000000,57.175496,57.545428,55.638209,56.567154,,,,,,,,,,50.000000,,,,,,,-0.009786,,,,,,,-0.045366,,,,65706667.090200,
2015-01-07,69.389999,69.910004,68.099998,68.470001,620800,0.000000,0.000000,57.043957,57.471441,55.983476,56.287647,,,,,,,,,,50.000000,,,,,,,-0.004941,,,,,,,-0.050083,,,,42506176.620800,
2015-01-08,68.000000,69.800003,67.559998,69.190002,685100,1.000000,0.000000,56.729806,58.231480,56.362729,57.722580,,,,,,,,,,50.000000,,,,,,,0.025493,,,,,,,-0.025867,,,,47402070.370200,
2015-01-09,69.440002,69.839996,67.980003,68.230003,487400,0.000000,0.000000,57.931152,58.264852,56.713130,56.921696,,,,,,,,,,50.000000,,,,,,,-0.013875,-0.039383,,,,,,-0.039383,,,,33255303.462200,
2015-01-12,68.139999,68.339996,67.059998,67.169998,373200,0.000000,0.000000,56.846592,57.013442,55.945588,56.037357,,,,,,,,,,50.000000,,,,,,,-0.015536,-0.019060,,,,,,-0.054307,,,,25067843.253600,
2015-01-13,66.290001,67.160004,65.599998,66.459999,1029300,0.000000,0.000000,55.303226,56.029036,54.727583,55.445049,,,,,,,,,,50.000000,,,,,,,-0.010570,-0.019837,,,,,,-0.064303,,,,68407276.970700,
2015-01-14,65.480003,66.370003,64.970001,66.099998,659400,0.000000,0.000000,54.627465,55.369957,54.201989,55.144703,,,,,,,,,,50.000000,,,,,,,-0.005417,-0.020305,,,,,,-0.069372,,,,43586338.681200,
2015-01-15,66.129997,66.529999,64.760002,64.900002,430100,0.000000,0.000000,55.169731,55.503437,54.026797,54.143593,,,,,,,,,,50.000000,,,,,,,-0.018154,-0.062003,,,,,,-0.086267,,,,27913490.860200,
