Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2020-08-21,35.009998,37.744999,28.330000,33.259998,3875200,0.000000,0.000000,35.009998,37.744999,28.330000,33.259998,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,128889144.249600,
2020-08-24,32.919998,34.150002,27.844999,28.440001,576100,0.000000,0.000000,32.919998,34.150002,27.844999,28.440001,,,,,,,,,,50.000000,,,,,,,-0.144919,,,,,,,-0.144919,,,,16384284.576100,
2020-08-25,27.799999,31.250000,26.909000,31.250000,416400,0.000000,0.000000,27.799999,31.250000,26.909000,31.250000,,,,,,,,,,50.000000,,,,,,,0.098804,,,,,,,-0.060433,,,,13012500.000000,
2020-08-26,31.850000,31.850000,30.000000,30.280001,233900,0.000000,0.000000,31.850000,31.850000,30.000000,30.280001,,,,,,,,,,50.000000,,,,,,,-0.031040,,,,,,,-0.089597,,,,7082492.233900,
2020-08-27,30.000000,34.799999,29.650000,33.270000,999300,0.000000,0.000000,30.000000,34.799999,29.650000,33.270000,,,,,,,,,,50.000000,,,,,,,0.098745,,,,,,,0.000000,,,,33246711.000000,
2020-08-28,33.270000,34.430000,30.747000,33.279999,290900,0.000000,0.000000,33.270000,34.430000,30.747000,33.279999,,,,,,,,,,50.000000,,,,,,,0.000301,0.000601,,,,,,0.000000,,,,9681151.709100,
2020-08-31,32.779999,33.990002,31.900000,31.900000,113700,0.000000,0.000000,32.779999,33.990002,31.900000,31.900000,,,,,,,,,,50.000000,,,,,,,-0.041466,0.121660,,,,,,-0.041466,,,,3627030.000000,
2020-09-01,31.270000,32.794998,30.010000,31.160000,89400,0.000000,0.000000,31.270000,32.794998,30.010000,31.160000,,,,,,,,,,50.000000,,,,,,,-0.023197,-0.002880,,,,,,-0.063702,,,,2785704.000000,
2020-09-02,31.080000,32.610001,30.799999,31.150000,126600,0.000000,0.000000,31.080000,32.610001,30.799999,31.150000,,,,,,,,,,50.000000,,,,,,,-0.000321,0.028732,,,,,,-0.064002,,,,3943590.000000,
2020-09-03,31.600000,31.950001,29.570000,30.290001,128500,0.000000,0.000000,31.600000,31.950001,29.570000,30.290001,,,,,,,,,,50.000000,,,,,,,-0.027608,-0.089570,,,,,,-0.089844,,,,3892265.128500,
2020-09-04,30.270000,30.350000,29.320000,29.549999,85000,0.000000,0.000000,30.270000,30.350000,29.320000,29.549999,,,,,,,,,,50.000000,,,,,,,-0.024431,-0.112079,,,,,,-0.112079,,,,2511749.915000,
2020-09-08,29.360001,31.270000,26.870001,27.280001,251000,0.000000,0.000000,29.360001,31.270000,26.870001,27.280001,,,,,30.358923,,,,,50.000000,,,,,,,-0.076819,-0.144828,,,,,,-0.180288,,,,6847280.251000,
2020-09-09,27.990000,28.320000,25.430000,26.100000,136700,0.000000,0.000000,27.990000,28.320000,25.430000,26.100000,,,,,29.619412,,,,,50.000000,,,,,,,-0.043255,-0.162388,,,,,,-0.215745,,,,3567870.000000,
2020-09-10,26.059999,30.100000,25.559999,29.230000,215600,0.000000,0.000000,26.059999,30.100000,25.559999,29.230000,,,,,29.553107,,,,,50.000000,,,,,3.490991,0.119432,0.119923,-0.061637,,,,,,-0.121695,,,,6301988.000000,
2020-09-11,29.080000,32.299999,28.530001,31.190001,181000,0.000000,0.000000,29.080000,32.299999,28.530001,31.190001,,,,,29.827315,,,,,49.980869,,,,,3.520692,0.112879,0.067054,0.029713,,,,,,-0.062800,,,,5645390.181000,
2020-09-14,31.190001,32.900002,30.500000,32.779999,87000,0.000000,0.000000,31.190001,32.900002,30.500000,32.779999,,,,,30.315269,,,,,55.133962,,,,,3.405427,0.103887,0.050978,0.109306,,,,,,-0.015024,,,,2851859.913000,
2020-09-15,31.650000,32.000000,30.219999,30.510000,169600,0.000000,0.000000,31.650000,32.000000,30.219999,30.510000,,,,,30.347087,,,,,47.595069,,,,,3.321122,0.108854,-0.069250,0.118402,,,,,,-0.083233,,,,5174496.000000,
2020-09-16,30.080000,31.443001,29.000000,29.920000,139800,0.000000,0.000000,30.080000,31.443001,29.000000,29.920000,,,,,30.277964,,,,,45.840585,,,,,3.235966,0.108154,-0.019338,0.146360,,,,,,-0.100962,,,,4182816.000000,
2020-09-17,29.580000,29.799999,28.621000,29.020000,322900,0.000000,0.000000,29.580000,29.799999,28.621000,29.020000,,,,,30.075981,,,,,43.223131,,,,,3.052807,0.105197,-0.030080,-0.007184,,,,,,-0.128005,,,,9370558.000000,
2020-09-18,29.090000,30.959999,28.799999,30.639999,118600,0.000000,0.000000,29.090000,30.959999,28.799999,30.639999,30.525000,,,,30.165937,,,,,48.881179,30.525000,34.396294,26.653706,0.514853,2.970292,0.096942,0.055824,-0.017634,,,,,,-0.079327,,,427860.000000,3633903.881400,
2020-09-21,30.160000,31.138000,28.610001,29.219999,255600,0.000000,0.000000,30.160000,31.138000,28.610001,29.219999,30.323000,,,,30.015915,,,,,44.678272,30.323000,34.010664,26.635336,0.350447,2.930255,0.100283,-0.046345,-0.108603,,,,,,-0.121995,,,246880.000000,7468631.744400,
