Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,36.869999,36.980000,36.009998,36.349998,557900,0.000000,0.000000,36.869999,36.980000,36.009998,36.349998,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,20279663.884200,
2015-01-05,36.080002,36.389999,35.259998,35.360001,859800,0.000000,0.000000,36.080002,36.389999,35.259998,35.360001,,,,,,,,,,50.000000,,,,,,,-0.027235,,,,,,,-0.027235,,,,30402528.859800,
2015-01-06,35.540001,35.889999,34.849998,35.080002,1253300,0.000000,0.000000,35.540001,35.889999,34.849998,35.080002,,,,,,,,,,50.000000,,,,,,,-0.007919,,,,,,,-0.034938,,,,43965766.506600,
2015-01-07,35.380001,35.380001,34.990002,35.220001,698200,0.000000,0.000000,35.380001,35.380001,34.990002,35.220001,,,,,,,,,,50.000000,,,,,,,0.003991,,,,,,,-0.031087,,,,24590604.698200,
2015-01-08,35.439999,36.099998,35.430000,35.750000,806000,0.000000,0.000000,35.439999,36.099998,35.430000,35.750000,,,,,,,,,,50.000000,,,,,,,0.015048,,,,,,,-0.016506,,,,28814500.000000,
2015-01-09,35.889999,36.009998,35.310001,35.619999,529600,0.000000,0.000000,35.889999,36.009998,35.310001,35.619999,,,,,,,,,,50.000000,,,,,,,-0.003636,-0.020083,,,,,,-0.020083,,,,18864351.470400,
2015-01-12,35.500000,35.570000,34.639999,34.709999,594300,0.000000,0.000000,35.500000,35.570000,34.639999,34.709999,,,,,,,,,,50.000000,,,,,,,-0.025547,-0.018382,,,,,,-0.045117,,,,20628152.405700,
2015-01-13,34.930000,35.250000,33.930000,34.259998,654800,0.000000,0.000000,34.930000,35.250000,33.930000,34.259998,,,,,,,,,,50.000000,,,,,,,-0.012965,-0.023375,,,,,,-0.057497,,,,22433446.690400,
2015-01-14,33.810001,34.520000,33.430000,33.790001,732100,0.000000,0.000000,33.810001,34.520000,33.430000,33.790001,,,,,,,,,,50.000000,,,,,,,-0.013719,-0.040602,,,,,,-0.070426,,,,24737659.732100,
2015-01-15,34.000000,34.209999,33.270000,33.540001,691400,0.000000,0.000000,34.000000,34.209999,33.270000,33.540001,,,,,,,,,,50.000000,,,,,,,-0.007399,-0.061818,,,,,,-0.077304,,,,23189556.691400,
2015-01-16,33.490002,34.130001,33.459999,34.070000,692600,0.000000,0.000000,33.490002,34.130001,33.459999,34.070000,,,,,,,,,,50.000000,,,,,,,0.015802,-0.043515,,,,,,-0.062723,,,,23596882.000000,
2015-01-20,34.230000,34.349998,33.720001,34.180000,448800,0.000000,0.000000,34.230000,34.349998,33.720001,34.180000,,,,,34.453862,,,,,50.000000,,,,,,,0.003229,-0.015269,,,,,,-0.059697,,,,15339984.000000,
2015-01-21,34.130001,34.450001,33.869999,34.169998,459900,0.000000,0.000000,34.130001,34.450001,33.869999,34.169998,,,,,34.404572,,,,,50.000000,,,,,,,-0.000293,-0.002627,,,,,,-0.059972,,,,15714782.080200,
2015-01-22,34.270000,34.980000,33.900002,34.959999,796900,0.000000,0.000000,34.270000,34.980000,33.900002,34.959999,,,,,34.499144,,,,,50.000000,,,,,0.873778,0.024994,0.023120,0.034626,,,,,,-0.038239,,,,27859623.203100,
2015-01-23,34.970001,35.389999,34.830002,34.869999,572400,0.000000,0.000000,34.970001,35.389999,34.830002,34.869999,,,,,34.561268,,,,,44.572107,,,,,0.840375,0.024100,-0.002574,0.039654,,,,,,-0.040715,,,,19959587.427600,
2015-01-26,34.930000,35.130001,34.520000,34.919998,681300,0.000000,0.000000,34.930000,35.130001,34.520000,34.919998,,,,,34.620551,,,,,45.428002,,,,,0.816680,0.023387,0.001434,0.024949,,,,,,-0.039340,,,,23790994.637400,
2015-01-27,34.500000,34.529999,33.849998,34.290001,840000,0.000000,0.000000,34.500000,34.529999,33.849998,34.290001,,,,,34.566542,,,,,37.558272,,,,,0.841941,0.024554,-0.018041,0.003218,,,,,,-0.056671,,,,28803600.840000,
2015-01-28,34.810001,35.090000,32.860001,32.900002,1518600,0.000000,0.000000,34.810001,35.090000,32.860001,32.900002,,,,,34.296815,,,,,26.606495,,,,,0.976548,0.029682,-0.040537,-0.037167,,,,,,-0.094910,,,,49961943.037200,
2015-01-29,31.580000,34.160000,31.150000,33.990002,1844200,0.000000,0.000000,31.580000,34.160000,31.150000,33.990002,,,,,34.247552,,,,,41.108506,,,,,1.168831,0.034387,0.033131,-0.027746,,,,,,-0.064924,,,,62684361.688400,
2015-01-30,33.750000,34.040001,32.860001,33.410000,1395500,0.000000,0.000000,33.750000,34.040001,32.860001,33.410000,34.572000,,,,34.113969,,,,,36.927263,34.572000,36.302890,32.841110,0.164335,1.169863,0.035015,-0.017064,-0.041870,,,,,,-0.080880,,,831380.000000,46623655.000000,
2015-02-02,33.470001,33.860001,32.799999,33.459999,907700,0.000000,0.000000,33.470001,33.860001,32.799999,33.459999,34.427500,,,,34.010252,,,,,37.517261,34.427500,36.009542,32.845458,0.194224,1.159918,0.034666,0.001497,-0.041810,,,,,,-0.079505,,,848870.000000,30371641.092300,
2015-02-03,33.610001,34.650002,33.400002,34.599998,798600,0.000000,0.000000,33.610001,34.650002,33.400002,34.599998,34.389500,,,,34.103341,,,,,49.188096,34.389500,35.912646,32.866353,0.569100,1.167920,0.033755,0.034071,0.009040,-0.048143,,,,0.304291,-0.048143,,,845810.000000,27631558.402800,
2015-02-04,34.560001,34.900002,34.189999,34.250000,732500,0.000000,0.000000,34.560001,34.900002,34.189999,34.250000,34.348000,,,,34.126399,,,,,46.327066,34.348000,35.836772,32.859227,0.467087,1.127941,0.032933,-0.010116,0.041033,-0.031391,,,,0.292057,-0.057772,,,819770.000000,25088125.000000,
