Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,7.470000,7.550000,7.150000,7.460000,125100,0.000000,0.000000,7.470000,7.550000,7.150000,7.460000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,933246.000000,
2015-01-05,7.370000,7.660000,7.370000,7.590000,194300,0.000000,0.000000,7.370000,7.660000,7.370000,7.590000,,,,,,,,,,50.000000,,,,,,,0.017426,,,,,,,0.000000,,,,1474737.000000,
2015-01-06,7.630000,7.630000,7.240000,7.270000,178200,0.000000,0.000000,7.630000,7.630000,7.240000,7.270000,,,,,,,,,,50.000000,,,,,,,-0.042161,,,,,,,-0.042161,,,,1295514.000000,
2015-01-07,7.350000,7.500000,7.310000,7.380000,194800,0.000000,0.000000,7.350000,7.500000,7.310000,7.380000,,,,,,,,,,50.000000,,,,,,,0.015131,,,,,,,-0.027668,,,,1437624.000000,
2015-01-08,7.420000,7.780000,7.390000,7.720000,253700,0.000000,0.000000,7.420000,7.780000,7.390000,7.720000,,,,,,,,,,50.000000,,,,,,,0.046070,,,,,,,0.000000,,,,1958564.000000,
2015-01-09,7.790000,8.040000,7.680000,7.980000,189900,0.000000,0.000000,7.790000,8.040000,7.680000,7.980000,,,,,,,,,,50.000000,,,,,,,0.033679,0.069705,,,,,,0.000000,,,,1515402.000000,
2015-01-12,8.030000,8.270000,7.970000,8.190000,420800,0.000000,0.000000,8.030000,8.270000,7.970000,8.190000,,,,,,,,,,50.000000,,,,,,,0.026316,0.079051,,,,,,0.000000,,,,3446352.000000,
2015-01-13,8.250000,8.420000,8.030000,8.210000,173800,0.000000,0.000000,8.250000,8.420000,8.030000,8.210000,,,,,,,,,,50.000000,,,,,,,0.002442,0.129298,,,,,,0.000000,,,,1426898.000000,
2015-01-14,8.130000,8.270000,8.100000,8.200000,102200,0.000000,0.000000,8.130000,8.270000,8.100000,8.200000,,,,,,,,,,50.000000,,,,,,,-0.001218,0.111111,,,,,,-0.001218,,,,838040.000000,
2015-01-15,8.200000,8.270000,7.910000,7.980000,141000,0.000000,0.000000,8.200000,8.270000,7.910000,7.980000,,,,,,,,,,50.000000,,,,,,,-0.026829,0.033679,,,,,,-0.028015,,,,1125180.000000,
