Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,127.900002,128.309998,124.559998,125.849998,207900,0.000000,0.000000,126.611861,127.017728,123.305496,124.582504,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,26164214.584200,
2015-01-05,124.860001,125.809998,122.760002,124.300003,335600,0.000000,0.000000,123.602468,124.542898,121.523620,123.048111,,,,,,,,,,50.000000,,,,,,,-0.012316,,,,,,,-0.012316,,,,41715081.006800,
2015-01-06,124.930000,126.339996,121.360001,122.080002,233900,0.000000,0.000000,123.671774,125.067569,120.137729,120.850479,,,,,,,,,,50.000000,,,,,,,-0.017860,,,,,,,-0.029956,,,,28554512.467800,
2015-01-07,123.309998,124.290001,121.309998,121.839996,227200,0.000000,0.000000,122.068081,123.038214,120.088224,120.612885,,,,,,,,,,50.000000,,,,,,,-0.001966,,,,,,,-0.031863,,,,27682047.091200,
2015-01-08,123.110001,125.639999,122.550003,123.660004,370400,0.000000,0.000000,121.870095,124.374613,121.315737,122.414558,,,,,,,,,,50.000000,,,,,,,0.014938,,,,,,,-0.017402,,,,45803665.481600,
2015-01-09,124.070000,124.360001,121.279999,122.290001,156500,0.000000,0.000000,122.820421,123.107501,120.058520,121.058350,,,,,,,,,,50.000000,,,,,,,-0.011079,-0.028288,,,,,,-0.028288,,,,19138385.156500,
2015-01-12,122.580002,122.849998,120.010002,120.279999,300300,0.000000,0.000000,121.345434,121.612712,118.801319,119.068596,,,,,,,,,,50.000000,,,,,,,-0.016436,-0.032341,,,,,,-0.044259,,,,36120083.699700,
2015-01-13,121.919998,123.230003,118.279999,119.980003,326900,0.000000,0.000000,120.692078,121.988889,117.088739,118.771622,,,,,,,,,,50.000000,,,,,,,-0.002494,-0.017202,,,,,,-0.046643,,,,39221462.980700,
2015-01-14,118.370003,120.139999,116.720001,118.529999,468300,0.000000,0.000000,117.177828,118.929997,115.544444,117.336212,,,,,,,,,,50.000000,,,,,,,-0.012085,-0.027167,,,,,,-0.058165,,,,55507598.531700,
2015-01-15,119.230003,119.250000,116.860001,116.889999,402300,0.000000,0.000000,118.029167,118.048962,115.683034,115.712730,,,,,,,,,,50.000000,,,,,,,-0.013836,-0.054747,,,,,,-0.071196,,,,47024846.597700,
2015-01-16,117.739998,120.699997,117.070000,119.320000,396500,0.000000,0.000000,116.554174,119.484362,115.890924,118.118263,,,,,,,,,,50.000000,,,,,,,0.020789,-0.024287,,,,,,-0.051887,,,,47310380.000000,
2015-01-20,119.980003,123.199997,117.980003,122.480003,474000,0.000000,0.000000,118.771623,121.959187,116.791766,121.246445,,,,,119.418360,,,,,50.000000,,,,,,,0.026483,0.018291,,,,,,-0.026778,,,,58055521.422000,
2015-01-21,121.769997,125.820000,121.769997,123.099998,384800,0.000000,0.000000,120.543585,124.552798,120.543585,121.860191,,,,,119.842354,,,,,50.000000,,,,,,,0.005062,0.026004,,,,,,-0.021851,,,,47368879.230400,
2015-01-22,124.300003,125.739998,122.220001,125.660004,253500,0.000000,0.000000,123.048121,124.473613,120.989068,124.394424,,,,,120.617427,,,,,50.000000,,,,,3.702837,0.029767,0.020796,0.060154,,,,,,-0.001510,,,,31854811.014000,
2015-01-23,125.690002,128.759995,125.029999,127.290001,357700,0.000000,0.000000,124.424112,127.463184,123.770755,126.007996,,,,,121.520439,,,,,63.242393,,,,,3.701729,0.029377,0.012971,0.088973,,,,,,0.000000,,,,45531633.357700,
2015-01-26,127.690002,128.470001,127.070000,127.510002,353800,0.000000,0.000000,126.403964,127.176107,125.790206,126.225777,,,,,122.298033,,,,,63.798952,,,,,3.463540,0.027439,0.001728,0.068639,,,,,,0.000000,,,,45113038.707600,
2015-01-27,127.000000,128.300003,124.660004,128.070007,386300,0.000000,0.000000,125.720913,127.007823,123.404484,126.780144,,,,,123.030380,,,,,65.241679,,,,,3.477481,0.027429,0.004392,0.045640,,,,,,0.000000,,,,49473443.704100,
2015-01-28,129.139999,129.139999,125.440002,126.250000,409500,0.000000,0.000000,127.839370,127.839370,124.176638,124.978477,,,,,123.345676,,,,,57.255450,,,,,3.495446,0.027968,-0.014211,0.025589,,,,,,-0.014211,,,,51699375.000000,
2015-01-29,125.860001,127.919998,124.239998,127.660004,357600,0.000000,0.000000,124.592401,126.631651,122.988714,126.374275,,,,,123.831958,,,,,61.216384,,,,,3.509393,0.027770,0.011168,0.015916,,,,,,-0.003201,,,,45651217.430400,
