Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,0.503250,0.507000,0.495250,0.503250,113680000,0.000000,0.000000,0.482423,0.486018,0.474754,0.482423,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,57209460.000000,
2015-01-05,0.503250,0.504750,0.492500,0.494750,197952000,0.000000,0.000000,0.482423,0.483861,0.472118,0.474275,,,,,,,,,,50.000000,,,,,,,-0.016890,,,,,,,-0.016890,,,,97936752.000000,
2015-01-06,0.495500,0.496000,0.479250,0.479750,197764000,0.000000,0.000000,0.474994,0.475473,0.459416,0.459896,,,,,,,,,,50.000000,,,,,,,-0.030318,,,,,,,-0.046696,,,,94877279.000000,
2015-01-07,0.483250,0.487500,0.477000,0.478500,321808000,0.000000,0.000000,0.463251,0.467325,0.457259,0.458697,,,,,,,,,,50.000000,,,,,,,-0.002607,,,,,,,-0.049181,,,,153985128.000000,
2015-01-08,0.484000,0.499500,0.483750,0.496500,283780000,0.000000,0.000000,0.463970,0.478828,0.463730,0.475952,,,,,,,,,,50.000000,,,,,,,0.037617,,,,,,,-0.013414,,,,140896770.000000,
2015-01-09,0.498250,0.502250,0.491500,0.498500,209540000,0.000000,0.000000,0.477630,0.481464,0.471159,0.477870,,,,,,,,,,50.000000,,,,,,,0.004030,-0.009438,,,,,,-0.009438,,,,104455690.000000,
2015-01-12,0.499750,0.500000,0.487750,0.492250,190732000,0.000000,0.000000,0.479068,0.479307,0.467564,0.471878,,,,,,,,,,50.000000,,,,,,,-0.012539,-0.005054,,,,,,-0.021858,,,,93887827.000000,
2015-01-13,0.496000,0.506000,0.488000,0.491500,236720000,0.000000,0.000000,0.475473,0.485059,0.467804,0.471159,,,,,,,,,,50.000000,,,,,,,-0.001524,0.024490,,,,,,-0.023349,,,,116347880.000000,
2015-01-14,0.486250,0.495000,0.485000,0.493500,155260000,0.000000,0.000000,0.466127,0.474514,0.464928,0.473077,,,,,,,,,,50.000000,,,,,,,0.004071,0.031350,,,,,,-0.019373,,,,76620810.000000,
2015-01-15,0.497000,0.500000,0.489750,0.490000,188932000,0.000000,0.000000,0.476432,0.479308,0.469482,0.469721,,,,,,,,,,50.000000,,,,,,,-0.007094,-0.013092,,,,,,-0.026330,,,,92576680.000000,
2015-01-16,0.489250,0.499500,0.487750,0.499000,181512000,0.000000,0.000000,0.469002,0.478828,0.467564,0.478349,,,,,,,,,,50.000000,,,,,,,0.018368,0.001002,,,,,,-0.008445,,,,90574488.000000,
2015-01-20,0.502500,0.505250,0.494250,0.500500,140308000,0.000000,0.000000,0.481704,0.484340,0.473796,0.479787,,,,,0.473952,,,,,50.000000,,,,,,,0.003006,0.016761,,,,,,-0.005464,,,,70224154.000000,
2015-01-21,0.497750,0.508750,0.494250,0.507500,144780000,0.000000,0.000000,0.477151,0.487695,0.473796,0.486497,,,,,0.476130,,,,,50.000000,,,,,,,0.013985,0.032554,,,,,,0.000000,,,,73475850.000000,
2015-01-22,0.508500,0.517750,0.503250,0.516250,159712000,0.000000,0.000000,0.487456,0.496323,0.482423,0.494885,,,,,0.479324,,,,,50.000000,,,,,0.012606,0.025472,0.017242,0.046098,,,,,,0.000000,,,,82451320.000000,
2015-01-23,0.516750,0.518750,0.512500,0.517750,120416000,0.000000,0.000000,0.495364,0.497281,0.491290,0.496323,,,,,0.482171,,,,,67.903965,,,,,0.011902,0.023979,0.002906,0.056634,,,,,,0.000000,,,,62345384.000000,
2015-01-26,0.515500,0.518000,0.512250,0.515500,133240000,0.000000,0.000000,0.494166,0.496562,0.491050,0.494166,,,,,0.484153,,,,,64.807756,,,,,0.011244,0.022754,-0.004346,0.033066,,,,,,-0.004346,,,,68685220.000000,
2015-01-27,0.507500,0.508000,0.489750,0.490750,357948000,0.000000,0.000000,0.486497,0.486976,0.469482,0.470440,,,,,0.481913,,,,,42.079548,,,,,0.012585,0.026751,-0.048012,-0.019482,,,,,,-0.052150,,,,175662981.000000,
2015-01-28,0.496750,0.498750,0.482500,0.482750,272728000,0.000000,0.000000,0.476192,0.478109,0.462532,0.462771,,,,,0.478815,,,,,37.501449,,,,,0.012875,0.027821,-0.016302,-0.048769,,,,,,-0.067601,,,,131659442.000000,
