Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,3.010000,3.140000,2.990000,3.120000,72400,0.000000,0.000000,3.010000,3.140000,2.990000,3.120000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,225888.000000,
2015-01-05,3.090000,3.180000,3.020000,3.030000,130800,0.000000,0.000000,3.090000,3.180000,3.020000,3.030000,,,,,,,,,,50.000000,,,,,,,-0.028846,,,,,,,-0.028846,,,,396324.000000,
2015-01-06,3.020000,3.080000,2.900000,2.940000,74400,0.000000,0.000000,3.020000,3.080000,2.900000,2.940000,,,,,,,,,,50.000000,,,,,,,-0.029703,,,,,,,-0.057692,,,,218736.000000,
2015-01-07,2.960000,3.020000,2.920000,3.000000,70000,0.000000,0.000000,2.960000,3.020000,2.920000,3.000000,,,,,,,,,,50.000000,,,,,,,0.020408,,,,,,,-0.038462,,,,210000.000000,
2015-01-08,3.040000,3.100000,2.980000,3.080000,59100,0.000000,0.000000,3.040000,3.100000,2.980000,3.080000,,,,,,,,,,50.000000,,,,,,,0.026667,,,,,,,-0.012821,,,,182028.000000,
2015-01-09,3.070000,3.100000,2.950000,3.060000,58000,0.000000,0.000000,3.070000,3.100000,2.950000,3.060000,,,,,,,,,,50.000000,,,,,,,-0.006494,-0.019231,,,,,,-0.019231,,,,177480.000000,
2015-01-12,3.000000,3.060000,2.960000,3.010000,77100,0.000000,0.000000,3.000000,3.060000,2.960000,3.010000,,,,,,,,,,50.000000,,,,,,,-0.016340,-0.006601,,,,,,-0.035256,,,,232071.000000,
2015-01-13,3.050000,3.060000,2.920000,2.970000,107500,0.000000,0.000000,3.050000,3.060000,2.920000,2.970000,,,,,,,,,,50.000000,,,,,,,-0.013289,0.010204,,,,,,-0.048077,,,,319275.000000,
2015-01-14,2.950000,3.080000,2.950000,3.060000,35000,0.000000,0.000000,2.950000,3.080000,2.950000,3.060000,,,,,,,,,,50.000000,,,,,,,0.030303,0.020000,,,,,,-0.019231,,,,107100.000000,
2015-01-15,3.060000,3.060000,2.900000,2.900000,96800,0.000000,0.000000,3.060000,3.060000,2.900000,2.900000,,,,,,,,,,50.000000,,,,,,,-0.052288,-0.058442,,,,,,-0.070513,,,,280720.000000,
2015-01-16,2.880000,3.050000,2.880000,3.030000,104900,0.000000,0.000000,2.880000,3.050000,2.880000,3.030000,,,,,,,,,,50.000000,,,,,,,0.044828,-0.009804,,,,,,-0.028846,,,,317847.000000,
2015-01-20,2.900000,3.070000,2.880000,2.940000,138000,0.000000,0.000000,2.900000,3.070000,2.880000,2.940000,,,,,2.995976,,,,,50.000000,,,,,,,-0.029703,-0.023256,,,,,,-0.057692,,,,405720.000000,
2015-01-21,2.920000,2.970000,2.820000,2.890000,67700,0.000000,0.000000,2.920000,2.970000,2.820000,2.890000,,,,,2.977575,,,,,50.000000,,,,,,,-0.017007,-0.026936,,,,,,-0.073718,,,,195653.000000,
2015-01-22,2.920000,2.990000,2.690000,2.980000,143300,0.000000,0.000000,2.920000,2.990000,2.690000,2.980000,,,,,2.977988,,,,,50.000000,,,,,0.165058,0.055389,0.031142,-0.026144,,,,,,-0.044872,,,,427034.000000,
2015-01-23,2.990000,2.990000,2.880000,2.890000,49400,0.000000,0.000000,2.990000,2.990000,2.880000,2.890000,,,,,2.963248,,,,,40.278280,,,,,0.159197,0.055085,-0.030201,-0.003448,,,,,,-0.073718,,,,142766.000000,
2015-01-26,2.910000,2.960000,2.860000,2.890000,96300,0.000000,0.000000,2.910000,2.960000,2.860000,2.890000,,,,,2.951143,,,,,40.278280,,,,,0.153108,0.052979,0.000000,-0.046205,,,,,,-0.073718,,,,278307.000000,
2015-01-27,2.860000,2.940000,2.830000,2.850000,86800,0.000000,0.000000,2.860000,2.940000,2.830000,2.850000,,,,,2.934617,,,,,37.935760,,,,,0.148810,0.052214,-0.013841,-0.030612,,,,,,-0.086538,,,,247380.000000,
2015-01-28,2.880000,2.890000,2.730000,2.810000,108100,0.000000,0.000000,2.880000,2.890000,2.730000,2.810000,,,,,2.914448,,,,,35.699806,,,,,0.149895,0.053343,-0.014035,-0.027682,,,,,,-0.099359,,,,303761.000000,
2015-01-29,2.800000,2.990000,2.760000,2.950000,139800,0.000000,0.000000,2.800000,2.990000,2.760000,2.950000,,,,,2.920157,,,,,47.388092,,,,,0.157470,0.053380,0.049822,-0.010067,,,,,,-0.054487,,,,412410.000000,
2015-01-30,2.910000,3.010000,2.830000,2.910000,156100,0.000000,0.000000,2.910000,3.010000,2.830000,2.910000,2.965500,,,,2.918537,,,,,44.878006,2.965500,3.130994,2.800006,0.332321,0.159552,0.054829,-0.013559,0.006920,,,,,,-0.067308,,,93575.000000,454251.000000,
2015-02-02,2.900000,3.030000,2.840000,2.980000,118500,0.000000,0.000000,2.900000,3.030000,2.840000,2.980000,2.958500,,,,2.928285,,,,,49.881153,2.958500,3.107500,2.809500,0.572148,0.162308,0.054466,0.024055,0.031142,,,,,,-0.044872,,,95880.000000,353130.000000,
2015-02-03,3.010000,3.030000,2.920000,3.000000,105100,0.000000,0.000000,3.010000,3.030000,2.920000,3.000000,2.957000,,,,2.939605,,,,,51.242829,2.957000,3.103553,2.810447,0.646704,0.157662,0.052554,0.006711,0.052632,-0.038462,,,,0.444407,-0.038462,,,94595.000000,315300.000000,
2015-02-04,3.010000,3.070000,2.960000,3.020000,164800,0.000000,0.000000,3.010000,3.070000,2.960000,3.020000,2.961000,,,,2.952244,,,,,52.628854,2.961000,3.109947,2.812053,0.698057,0.153501,0.050828,0.006667,0.074733,-0.003300,,,,0.433766,-0.032051,,,99115.000000,497696.000000,
2015-02-05,3.040000,3.190000,3.030000,3.140000,152800,0.000000,0.000000,3.040000,3.190000,3.030000,3.140000,2.968000,,,,2.981664,,,,,59.979864,2.968000,3.136535,2.799465,1.010278,0.154919,0.049337,0.039735,0.064407,0.068027,,,,0.440105,0.000000,,,103255.000000,479792.000000,
2015-02-06,3.150000,3.200000,3.020000,3.070000,210700,0.000000,0.000000,3.150000,3.200000,3.020000,3.070000,2.967500,,,,2.995466,,,,,54.652139,2.967500,3.134690,2.800310,0.806537,0.157043,0.051154,-0.022293,0.054983,0.023333,,,,0.444278,-0.022293,,,110835.000000,646849.000000,
2015-02-09,3.080000,3.250000,3.050000,3.120000,139800,0.000000,0.000000,3.080000,3.250000,3.050000,3.120000,2.970500,,,,3.014877,2.992178,0.022699,,,57.552457,2.970500,3.146595,2.794405,0.924487,0.160635,0.051485,0.016287,0.046980,0.012987,,,,0.438275,-0.006369,,,114925.000000,436176.000000,
2015-02-10,3.160000,3.170000,3.070000,3.120000,204700,0.000000,0.000000,3.160000,3.170000,3.070000,3.120000,2.976000,,,,3.031230,3.003001,0.028228,,,57.552457,2.976000,3.163774,2.788226,0.883440,0.155626,0.049880,0.000000,0.040000,0.019608,,,,0.437457,-0.006369,,,121305.000000,638664.000000,
2015-02-11,3.100000,3.220000,3.020000,3.060000,118200,0.000000,0.000000,3.100000,3.220000,3.020000,3.060000,2.980500,,,,3.035697,3.007777,0.027921,,,52.848414,2.980500,3.171946,2.789054,0.707630,0.159251,0.052043,-0.019231,0.013245,0.016611,,,,0.439036,-0.025478,,,121840.000000,361692.000000,
2015-02-12,3.060000,3.160000,3.040000,3.140000,92100,0.000000,0.000000,3.060000,3.160000,3.040000,3.140000,2.984500,,,,3.051871,3.018749,0.033123,,,57.801010,2.984500,3.186018,2.782982,0.885822,0.156077,0.049706,0.026144,0.000000,0.057239,,,,0.443922,0.000000,,,124695.000000,289194.000000,
