Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,1.470000,1.700000,1.460000,1.650000,5256500,0.000000,0.000000,1.470000,1.700000,1.460000,1.650000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,8673225.000000,
2015-01-05,1.670000,1.700000,1.540000,1.630000,2290500,0.000000,0.000000,1.670000,1.700000,1.540000,1.630000,,,,,,,,,,50.000000,,,,,,,-0.012121,,,,,,,-0.012121,,,,3733515.000000,
2015-01-06,1.640000,1.640000,1.560000,1.580000,1687200,0.000000,0.000000,1.640000,1.640000,1.560000,1.580000,,,,,,,,,,50.000000,,,,,,,-0.030675,,,,,,,-0.042424,,,,2665776.000000,
2015-01-07,1.600000,1.630000,1.600000,1.630000,1407400,0.000000,0.000000,1.600000,1.630000,1.600000,1.630000,,,,,,,,,,50.000000,,,,,,,0.031646,,,,,,,-0.012121,,,,2294062.000000,
2015-01-08,1.670000,1.980000,1.670000,1.790000,9780200,0.000000,0.000000,1.670000,1.980000,1.670000,1.790000,,,,,,,,,,50.000000,,,,,,,0.098160,,,,,,,0.000000,,,,17506558.000000,
2015-01-09,1.820000,1.820000,1.700000,1.760000,2085800,0.000000,0.000000,1.820000,1.820000,1.700000,1.760000,,,,,,,,,,50.000000,,,,,,,-0.016760,0.066667,,,,,,-0.016760,,,,3671008.000000,
2015-01-12,1.790000,1.800000,1.630000,1.650000,2128000,0.000000,0.000000,1.790000,1.800000,1.630000,1.650000,,,,,,,,,,50.000000,,,,,,,-0.062500,0.012270,,,,,,-0.078212,,,,3511200.000000,
2015-01-13,1.670000,1.730000,1.610000,1.650000,1498000,0.000000,0.000000,1.670000,1.730000,1.610000,1.650000,,,,,,,,,,50.000000,,,,,,,0.000000,0.044304,,,,,,-0.078212,,,,2471700.000000,
2015-01-14,1.630000,1.760000,1.630000,1.670000,986900,0.000000,0.000000,1.630000,1.760000,1.630000,1.670000,,,,,,,,,,50.000000,,,,,,,0.012121,0.024540,,,,,,-0.067039,,,,1648123.000000,
2015-01-15,1.650000,1.770000,1.620000,1.650000,1395800,0.000000,0.000000,1.650000,1.770000,1.620000,1.650000,,,,,,,,,,50.000000,,,,,,,-0.011976,-0.078212,,,,,,-0.078212,,,,2303070.000000,
2015-01-16,1.630000,1.720000,1.610000,1.660000,1529100,0.000000,0.000000,1.630000,1.720000,1.610000,1.660000,,,,,,,,,,50.000000,,,,,,,0.006061,-0.056818,,,,,,-0.072626,,,,2538306.000000,
2015-01-20,1.650000,1.730000,1.610000,1.730000,1852900,0.000000,0.000000,1.650000,1.730000,1.610000,1.730000,,,,,1.678420,,,,,50.000000,,,,,,,0.042169,0.048485,,,,,,-0.033520,,,,3205517.000000,
2015-01-21,1.720000,1.740000,1.620000,1.640000,1513800,0.000000,0.000000,1.720000,1.740000,1.620000,1.640000,,,,,1.671749,,,,,50.000000,,,,,,,-0.052023,-0.006061,,,,,,-0.083799,,,,2482632.000000,
2015-01-22,1.640000,1.660000,1.600000,1.620000,1647900,0.000000,0.000000,1.640000,1.660000,1.600000,1.620000,,,,,1.662938,,,,,50.000000,,,,,0.133295,0.082281,-0.012195,-0.029940,,,,,,-0.094972,,,,2669598.000000,
2015-01-23,1.600000,1.650000,1.600000,1.630000,1764700,0.000000,0.000000,1.600000,1.650000,1.600000,1.630000,,,,,1.657420,,,,,46.281869,,,,,0.124428,0.076336,0.006173,-0.012121,,,,,,-0.089385,,,,2876461.000000,
2015-01-26,1.630000,1.730000,1.610000,1.720000,1731200,0.000000,0.000000,1.630000,1.730000,1.610000,1.720000,,,,,1.667762,,,,,56.779585,,,,,0.123973,0.072077,0.055215,0.036145,,,,,,-0.039106,,,,2977664.000000,
2015-01-27,1.730000,1.790000,1.710000,1.780000,1093000,0.000000,0.000000,1.730000,1.790000,1.710000,1.780000,,,,,1.686101,,,,,62.097433,,,,,0.119588,0.067184,0.034884,0.028902,,,,,,-0.005587,,,,1945540.000000,
2015-01-28,1.790000,2.080000,1.790000,2.040000,13484200,0.000000,0.000000,1.790000,2.080000,1.790000,2.040000,,,,,1.743379,,,,,75.922459,,,,,0.137083,0.067198,0.146067,0.243902,,,,,,0.000000,,,,27507768.000000,
2015-01-29,2.050000,2.110000,1.870000,1.970000,6134900,0.000000,0.000000,2.050000,2.110000,1.870000,1.970000,,,,,1.779766,,,,,68.661107,,,,,0.146815,0.074525,-0.034314,0.216049,,,,,,-0.034314,,,,12085753.000000,
2015-01-30,1.950000,1.970000,1.810000,1.870000,3254600,0.000000,0.000000,1.950000,1.970000,1.810000,1.870000,1.716000,,,,1.794157,,,,,59.854110,1.716000,1.960209,1.471791,0.815304,0.148034,0.079162,-0.050761,0.147239,,,,,,-0.083333,,,3126130.000000,6086102.000000,
