Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-03-05,10.020000,10.350000,9.750000,10.190000,1470500,0.000000,0.000000,10.020000,10.350000,9.750000,10.190000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,14984395.000000,
2015-03-06,10.380000,10.380000,10.050000,10.290000,219900,0.000000,0.000000,10.380000,10.380000,10.050000,10.290000,,,,,,,,,,50.000000,,,,,,,0.009814,,,,,,,0.000000,,,,2262771.000000,
2015-03-09,10.400000,10.540000,10.200000,10.540000,50200,0.000000,0.000000,10.400000,10.540000,10.200000,10.540000,,,,,,,,,,50.000000,,,,,,,0.024295,,,,,,,0.000000,,,,529108.000000,
2015-03-10,10.600000,11.750000,10.500000,11.480000,155200,0.000000,0.000000,10.600000,11.750000,10.500000,11.480000,,,,,,,,,,50.000000,,,,,,,0.089184,,,,,,,0.000000,,,,1781696.000000,
2015-03-11,11.300000,11.350000,10.840000,10.990000,23800,0.000000,0.000000,11.300000,11.350000,10.840000,10.990000,,,,,,,,,,50.000000,,,,,,,-0.042683,,,,,,,-0.042683,,,,261562.000000,
2015-03-12,10.820000,11.166000,10.070000,10.670000,45100,0.000000,0.000000,10.820000,11.166000,10.070000,10.670000,,,,,,,,,,50.000000,,,,,,,-0.029117,0.047105,,,,,,-0.070557,,,,481217.000000,
2015-03-13,10.800000,11.250000,10.350000,10.700000,34600,0.000000,0.000000,10.800000,11.250000,10.350000,10.700000,,,,,,,,,,50.000000,,,,,,,0.002812,0.039845,,,,,,-0.067944,,,,370220.000000,
2015-03-16,10.610000,10.988000,10.610000,10.760000,40600,0.000000,0.000000,10.610000,10.988000,10.610000,10.760000,,,,,,,,,,50.000000,,,,,,,0.005607,0.020873,,,,,,-0.062718,,,,436856.000000,
2015-03-17,11.180000,11.300000,10.800000,11.200000,55000,0.000000,0.000000,11.180000,11.300000,10.800000,11.200000,,,,,,,,,,50.000000,,,,,,,0.040892,-0.024390,,,,,,-0.024390,,,,616000.000000,
2015-03-18,11.980000,11.980000,11.110000,11.490000,57900,0.000000,0.000000,11.980000,11.980000,11.110000,11.490000,,,,,,,,,,50.000000,,,,,,,0.025893,0.045496,,,,,,0.000000,,,,665271.000000,
2015-03-19,11.200000,12.030000,11.200000,11.900000,74800,0.000000,0.000000,11.200000,12.030000,11.200000,11.900000,,,,,,,,,,50.000000,,,,,,,0.035683,0.115276,,,,,,0.000000,,,,890120.000000,
