Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-11-19,9.000000,9.440000,8.320000,8.740000,532300,0.000000,0.000000,9.000000,9.440000,8.320000,8.740000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,4652302.000000,
2015-11-20,8.540000,9.090000,8.430000,9.070000,30800,0.000000,0.000000,8.540000,9.090000,8.430000,9.070000,,,,,,,,,,50.000000,,,,,,,0.037757,,,,,,,0.000000,,,,279356.000000,
2015-11-23,9.070000,9.200000,9.050000,9.060000,13900,0.000000,0.000000,9.070000,9.200000,9.050000,9.060000,,,,,,,,,,50.000000,,,,,,,-0.001103,,,,,,,-0.001103,,,,125934.000000,
2015-11-24,9.200000,9.200000,9.020000,9.200000,7600,0.000000,0.000000,9.200000,9.200000,9.020000,9.200000,,,,,,,,,,50.000000,,,,,,,0.015453,,,,,,,0.000000,,,,69920.000000,
2015-11-25,9.200000,9.700000,8.090000,8.820000,135600,0.000000,0.000000,9.200000,9.700000,8.090000,8.820000,,,,,,,,,,50.000000,,,,,,,-0.041304,,,,,,,-0.041304,,,,1195992.000000,
2015-11-27,8.900000,9.410000,8.660000,9.190000,4300,0.000000,0.000000,8.900000,9.410000,8.660000,9.190000,,,,,,,,,,50.000000,,,,,,,0.041950,0.051487,,,,,,-0.001087,,,,39517.000000,
2015-11-30,8.800000,9.300000,8.685000,8.830000,37700,0.000000,0.000000,8.800000,9.300000,8.685000,8.830000,,,,,,,,,,50.000000,,,,,,,-0.039173,-0.026461,,,,,,-0.040217,,,,332891.000000,
2015-12-01,8.810000,9.240000,8.610000,8.730000,75100,0.000000,0.000000,8.810000,9.240000,8.610000,8.730000,,,,,,,,,,50.000000,,,,,,,-0.011325,-0.036424,,,,,,-0.051087,,,,655623.000000,
2015-12-02,8.950000,9.060000,8.000000,8.790000,136400,0.000000,0.000000,8.950000,9.060000,8.000000,8.790000,,,,,,,,,,50.000000,,,,,,,0.006873,-0.044565,,,,,,-0.044565,,,,1198956.000000,
2015-12-03,8.940000,9.020000,8.600000,8.600000,119200,0.000000,0.000000,8.940000,9.020000,8.600000,8.600000,,,,,,,,,,50.000000,,,,,,,-0.021615,-0.024943,,,,,,-0.065217,,,,1025120.000000,
2015-12-04,8.260000,8.740000,8.260000,8.600000,109100,0.000000,0.000000,8.260000,8.740000,8.260000,8.600000,,,,,,,,,,50.000000,,,,,,,0.000000,-0.064200,,,,,,-0.065217,,,,938260.000000,
2015-12-07,8.520000,8.810000,8.300000,8.550000,127300,0.000000,0.000000,8.520000,8.810000,8.300000,8.550000,,,,,8.757714,,,,,50.000000,,,,,,,-0.005814,-0.031710,,,,,,-0.070652,,,,1088415.000000,
2015-12-08,8.800000,8.800000,8.330000,8.690000,35500,0.000000,0.000000,8.800000,8.800000,8.330000,8.690000,,,,,8.745956,,,,,50.000000,,,,,,,0.016374,-0.004582,,,,,,-0.055435,,,,308495.000000,
2015-12-09,8.605000,8.860000,8.510000,8.670000,50500,0.000000,0.000000,8.605000,8.860000,8.510000,8.670000,,,,,8.733023,,,,,50.000000,,,,,0.610241,0.070385,-0.002301,-0.013652,,,,,,-0.057609,,,,437835.000000,
2015-12-10,8.790000,8.790000,8.324000,8.580000,67100,0.000000,0.000000,8.790000,8.790000,8.324000,8.580000,,,,,8.707389,,,,,42.600524,,,,,0.594886,0.069334,-0.010381,-0.002326,,,,,,-0.067391,,,,575718.000000,
2015-12-11,8.640000,8.900000,8.180000,8.450000,75200,0.000000,0.000000,8.640000,8.900000,8.180000,8.450000,,,,,8.664854,,,,,38.341902,,,,,0.607754,0.071924,-0.015152,-0.017442,,,,,,-0.081522,,,,635440.000000,
2015-12-14,8.330000,8.650000,8.000000,8.250000,26800,0.000000,0.000000,8.330000,8.650000,8.000000,8.250000,,,,,8.597069,,,,,32.893861,,,,,0.611967,0.074178,-0.023669,-0.035088,,,,,,-0.103261,,,,221100.000000,
2015-12-15,8.270000,8.450000,8.070000,8.350000,15100,0.000000,0.000000,8.270000,8.450000,8.070000,8.350000,,,,,8.557082,,,,,37.663278,,,,,0.589472,0.070595,0.012121,-0.039125,,,,,,-0.092391,,,,126085.000000,
2015-12-16,8.350000,8.640000,8.000000,8.283000,37100,0.000000,0.000000,8.350000,8.640000,8.000000,8.283000,,,,,8.513074,,,,,35.826057,,,,,0.594250,0.071743,-0.008024,-0.044637,,,,,,-0.099674,,,,307299.300000,
2015-12-17,8.400000,8.600000,8.300000,8.500000,9900,0.000000,0.000000,8.400000,8.600000,8.300000,8.500000,8.697650,,,,8.510989,,,,,45.157161,8.697650,9.251617,8.143683,0.321605,0.568626,0.066897,0.026198,-0.009324,,,,,,-0.076087,,,82325.000000,84150.000000,
2015-12-18,8.310000,9.210000,8.300000,9.110000,62700,0.000000,0.000000,8.310000,9.210000,8.300000,9.110000,8.716150,,,,8.605990,,,,,61.919422,8.716150,9.299980,8.132320,0.837299,0.599528,0.065810,0.071765,0.078107,,,,,,-0.009783,,,58845.000000,571197.000000,
2015-12-21,9.050000,9.050000,8.730000,9.050000,33100,0.000000,0.000000,9.050000,9.050000,8.730000,9.050000,8.715150,,,,8.676076,,,,,59.977607,8.715150,9.296491,8.133809,0.787998,0.580028,0.064091,-0.006586,0.096970,0.035469,,,,0.427736,-0.016304,,,58960.000000,299555.000000,
2015-12-22,8.750000,9.150000,8.400000,9.150000,27800,0.000000,0.000000,8.750000,9.150000,8.400000,9.150000,8.719650,,,,8.750585,,,,,62.110334,8.719650,9.313490,8.125810,0.862345,0.594868,0.065013,0.011050,0.095808,0.008820,,,,0.409211,-0.005435,,,59655.000000,254370.000000,
2015-12-23,9.150000,9.150000,8.750000,8.970000,17800,0.000000,0.000000,9.150000,9.150000,8.750000,8.970000,8.708150,,,,8.784965,,,,,56.295188,8.708150,9.270918,8.145382,0.732645,0.578120,0.064450,-0.019672,0.082941,-0.009934,,,,0.415270,-0.025000,,,60165.000000,159666.000000,
2015-12-24,8.750000,8.920000,8.420000,8.670000,12200,0.000000,0.000000,8.750000,8.920000,8.420000,8.670000,8.700650,,,,8.767002,,,,,48.196004,8.700650,9.261135,8.140165,0.472658,0.575738,0.066406,-0.033445,0.020000,-0.057609,,,,0.426509,-0.057609,,,53995.000000,105774.000000,
2015-12-28,8.339000,8.970000,8.250000,8.720000,34300,0.000000,0.000000,8.339000,8.970000,8.250000,8.720000,8.677150,,,,8.759676,8.738324,0.021351,,,49.500054,8.677150,9.188505,8.165795,0.541899,0.587799,0.067408,0.005767,-0.042810,-0.011338,,,,0.403048,-0.052174,,,55495.000000,299096.000000,
2015-12-29,9.000000,9.210000,8.250000,9.210000,113700,0.000000,0.000000,9.000000,9.210000,8.250000,9.210000,8.696150,,,,8.829727,8.778263,0.051463,,,60.100213,8.696150,9.257238,8.135062,0.957905,0.618541,0.067160,0.056193,0.017680,0.002176,,,,0.424294,0.000000,,,59295.000000,1047177.000000,
2015-12-30,9.140000,9.200000,8.635000,9.200000,80200,0.000000,0.000000,9.140000,9.200000,8.635000,9.200000,8.719650,,,,8.887227,8.813599,0.073628,,,59.824227,8.719650,9.324380,8.114920,0.897161,0.614985,0.066846,-0.001086,0.005464,0.041903,,,,0.399268,-0.001086,,,59550.000000,737840.000000,
2015-12-31,9.150000,9.540000,8.880000,9.270000,75800,0.000000,0.000000,9.150000,9.540000,8.880000,9.270000,8.743650,,,,8.946582,8.851471,0.095111,,,61.168472,8.743650,9.396334,8.090966,0.903220,0.618624,0.066734,0.007609,0.033445,0.061856,,,,0.396534,0.000000,,,56520.000000,702666.000000,
2016-01-04,9.540000,12.190000,9.500000,12.190000,54500,0.000000,0.000000,9.540000,12.190000,9.500000,12.190000,8.923150,,,,9.448915,9.126057,0.322858,,,84.486534,8.923150,10.592425,7.253875,1.478524,0.802965,0.065871,0.314995,0.405998,0.386803,,,,1.151257,0.000000,,,53285.000000,664355.000000,
2016-01-05,12.270000,15.740000,12.210000,14.980000,161700,0.000000,0.000000,12.270000,15.740000,12.210000,14.980000,9.242150,,,,10.304674,9.603627,0.701047,,,90.411322,9.242150,12.413786,6.070514,1.404557,1.021111,0.068165,0.228876,0.717890,0.741860,,,,1.352547,0.000000,,,55915.000000,2422266.000000,
2016-01-06,14.710000,14.760000,13.900000,14.470000,48400,0.000000,0.000000,14.710000,14.760000,13.900000,14.470000,9.538150,,,,10.948564,9.997671,0.950892,,,84.089309,9.538150,13.455200,5.621100,1.129536,1.025750,0.070888,-0.034045,0.571118,0.682558,,,,1.367047,-0.034045,,,51970.000000,700348.000000,
2016-01-07,14.070000,14.450000,12.110000,12.450000,62100,0.000000,0.000000,14.070000,14.450000,12.110000,12.450000,9.726150,,,,11.180490,10.194883,0.985606,,,64.770660,9.726150,13.828350,5.623950,0.831999,1.130098,0.090771,-0.139599,0.353261,0.456140,,,,1.482580,-0.168892,,,53300.000000,773145.000000,
