Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2018-05-25,15.210000,15.725000,14.700000,15.000000,169700,0.000000,0.000000,15.210000,15.725000,14.700000,15.000000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,2545500.000000,
2018-05-29,14.940000,16.730000,14.780000,16.120001,141200,0.000000,0.000000,14.940000,16.730000,14.780000,16.120001,,,,,,,,,,50.000000,,,,,,,0.074667,,,,,,,0.000000,,,,2276144.141200,
2018-05-30,16.000000,16.570000,15.815000,16.500000,186500,0.000000,0.000000,16.000000,16.570000,15.815000,16.500000,,,,,,,,,,50.000000,,,,,,,0.023573,,,,,,,0.000000,,,,3077250.000000,
2018-05-31,16.610001,17.799999,16.549999,17.490000,75600,0.000000,0.000000,16.610001,17.799999,16.549999,17.490000,,,,,,,,,,50.000000,,,,,,,0.060000,,,,,,,0.000000,,,,1322244.000000,
2018-06-01,17.629999,19.950001,17.284000,19.650000,123900,0.000000,0.000000,17.629999,19.950001,17.284000,19.650000,,,,,,,,,,50.000000,,,,,,,0.123499,,,,,,,0.000000,,,,2434635.000000,
2018-06-04,19.940001,19.940001,16.799999,17.500000,58100,0.000000,0.000000,19.940001,19.940001,16.799999,17.500000,,,,,,,,,,50.000000,,,,,,,-0.109415,0.166667,,,,,,-0.109415,,,,1016750.000000,
2018-06-05,17.250000,17.997999,17.000000,17.250000,19400,0.000000,0.000000,17.250000,17.997999,17.000000,17.250000,,,,,,,,,,50.000000,,,,,,,-0.014286,0.070099,,,,,,-0.122137,,,,334650.000000,
2018-06-06,17.450001,17.959999,16.840000,17.440001,20400,0.000000,0.000000,17.450001,17.959999,16.840000,17.440001,,,,,,,,,,50.000000,,,,,,,0.011015,0.056970,,,,,,-0.112468,,,,355776.020400,
2018-06-07,16.530001,19.299999,16.510000,19.299999,24700,0.000000,0.000000,16.530001,19.299999,16.510000,19.299999,,,,,,,,,,50.000000,,,,,,,0.106651,0.103488,,,,,,-0.017812,,,,476709.975300,
2018-06-08,19.000000,19.170000,18.049999,18.760000,37900,0.000000,0.000000,19.000000,19.170000,18.049999,18.760000,,,,,,,,,,50.000000,,,,,,,-0.027979,-0.045293,,,,,,-0.045293,,,,711004.000000,
2018-06-11,18.740000,19.870001,17.040001,17.309999,38900,0.000000,0.000000,18.740000,19.870001,17.040001,17.309999,,,,,,,,,,50.000000,,,,,,,-0.077292,-0.010857,,,,,,-0.119084,,,,673358.961100,
2018-06-12,17.520000,18.736000,17.400000,17.610001,20700,0.000000,0.000000,17.520000,18.736000,17.400000,17.610001,,,,,17.782294,,,,,50.000000,,,,,,,0.017331,0.020870,,,,,,-0.103817,,,,364527.020700,
2018-06-13,17.980000,19.205000,17.400000,18.920000,84100,0.000000,0.000000,17.980000,19.205000,17.400000,18.920000,,,,,17.979843,,,,,50.000000,,,,,,,0.074389,0.084862,,,,,,-0.037150,,,,1591172.000000,
2018-06-14,17.820000,19.700001,17.820000,18.700001,69900,0.000000,0.000000,17.820000,19.700001,17.820000,18.700001,,,,,18.102463,,,,,50.000000,,,,,1.821946,0.097430,-0.011628,-0.031088,,,,,,-0.048346,,,,1307130.069900,
2018-06-15,18.700001,19.000000,18.046000,18.799999,44300,0.000000,0.000000,18.700001,19.000000,18.046000,18.799999,,,,,18.219312,,,,,62.491803,,,,,1.729549,0.091997,0.005347,0.002132,,,,,,-0.043257,,,,832839.955700,
2018-06-18,18.129999,22.389999,18.059999,21.430000,77200,0.000000,0.000000,18.129999,22.389999,18.059999,21.430000,,,,,18.749904,,,,,72.556276,,,,,1.997011,0.093188,0.139894,0.238013,,,,,,0.000000,,,,1654396.000000,
2018-06-19,21.350000,27.020000,21.350000,25.600000,183700,0.000000,0.000000,21.350000,27.020000,21.350000,25.600000,,,,,19.869163,,,,,81.179380,,,,,2.363278,0.092316,0.194587,0.453719,,,,,,0.000000,,,,4702720.000000,
2018-06-20,25.350000,26.480000,21.400000,22.549999,110000,0.000000,0.000000,25.350000,26.480000,21.400000,22.549999,,,,,20.303051,,,,,65.073830,,,,,2.626733,0.116485,-0.119141,0.191860,,,,,,-0.119141,,,,2480499.890000,
2018-06-21,22.290001,25.010000,21.500000,23.170000,161100,0.000000,0.000000,22.290001,25.010000,21.500000,23.170000,,,,,20.763378,,,,,66.527594,,,,,2.710254,0.116973,0.027495,0.239037,,,,,,-0.094922,,,,3732687.000000,
