Date,Open,High,Low,Close,Volume,Dividends,Splits,AdjOpen,AdjHigh,AdjLow,AdjClose,sma20,sma50,sma100,sma200,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_mid,bb_up,bb_low,bb_pctb,atr14,atr_pct,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_12m,vol_21,drawdown,dist_52w_high,dist_52w_low,vol_sma20,turnover_sar,rs_bench_3m
2015-01-02,15.930000,16.480000,15.800000,16.330000,323300,0.000000,0.000000,15.930000,16.480000,15.800000,16.330000,,,,,,,,,,50.000000,,,,,,,,,,,,,,0.000000,,,,5279489.000000,
2015-01-05,16.240000,17.240000,16.049999,16.209999,507300,0.000000,0.000000,16.240000,17.240000,16.049999,16.209999,,,,,,,,,,50.000000,,,,,,,-0.007348,,,,,,,-0.007348,,,,8223332.492700,
2015-01-06,16.219999,17.000000,15.410000,15.700000,551500,0.000000,0.000000,16.219999,17.000000,15.410000,15.700000,,,,,,,,,,50.000000,,,,,,,-0.031462,,,,,,,-0.038579,,,,8658550.000000,
2015-01-07,16.000000,17.450001,15.970000,17.389999,664800,0.000000,0.000000,16.000000,17.450001,15.970000,17.389999,,,,,,,,,,50.000000,,,,,,,0.107643,,,,,,,0.000000,,,,11560871.335200,
2015-01-08,17.610001,18.600000,17.370001,17.580000,719200,0.000000,0.000000,17.610001,18.600000,17.370001,17.580000,,,,,,,,,,50.000000,,,,,,,0.010926,,,,,,,0.000000,,,,12643536.000000,
2015-01-09,17.629999,17.760000,16.629999,16.860001,472800,0.000000,0.000000,17.629999,17.760000,16.629999,16.860001,,,,,,,,,,50.000000,,,,,,,-0.040956,0.032456,,,,,,-0.040956,,,,7971408.472800,
2015-01-12,16.980000,17.049999,15.970000,15.980000,448200,0.000000,0.000000,16.980000,17.049999,15.970000,15.980000,,,,,,,,,,50.000000,,,,,,,-0.052195,-0.014189,,,,,,-0.091013,,,,7162236.000000,
2015-01-13,16.000000,16.219999,15.010000,15.230000,677900,0.000000,0.000000,16.000000,16.219999,15.010000,15.230000,,,,,,,,,,50.000000,,,,,,,-0.046934,-0.029936,,,,,,-0.133675,,,,10324417.000000,
2015-01-14,15.070000,15.280000,14.560000,14.980000,586600,0.000000,0.000000,15.070000,15.280000,14.560000,14.980000,,,,,,,,,,50.000000,,,,,,,-0.016415,-0.138585,,,,,,-0.147895,,,,8787268.000000,
2015-01-15,15.150000,15.240000,13.080000,13.390000,1122700,0.000000,0.000000,15.150000,15.240000,13.080000,13.390000,,,,,,,,,,50.000000,,,,,,,-0.106142,-0.238339,,,,,,-0.238339,,,,15032953.000000,
2015-01-16,13.510000,14.050000,13.160000,13.570000,553800,0.000000,0.000000,13.510000,14.050000,13.160000,13.570000,,,,,,,,,,50.000000,,,,,,,0.013443,-0.195136,,,,,,-0.228100,,,,7515066.000000,
2015-01-20,13.300000,13.732000,12.370000,13.610000,744800,0.000000,0.000000,13.300000,13.732000,12.370000,13.610000,,,,,14.908460,,,,,50.000000,,,,,,,0.002948,-0.148310,,,,,,-0.225825,,,,10136728.000000,
2015-01-21,13.740000,14.890000,13.397000,14.150000,1179100,0.000000,0.000000,13.740000,14.890000,13.397000,14.150000,,,,,14.776763,,,,,50.000000,,,,,,,0.039677,-0.070913,,,,,,-0.195108,,,,16684265.000000,
2015-01-22,14.650000,14.679000,13.530000,14.000000,1172800,0.000000,0.000000,14.650000,14.679000,13.530000,14.000000,,,,,14.644505,,,,,50.000000,,,,,1.270667,0.090762,-0.010601,-0.065421,,,,,,-0.203641,,,,16419200.000000,
2015-01-23,14.000000,14.110000,13.550000,14.080000,422000,0.000000,0.000000,14.000000,14.110000,13.550000,14.080000,,,,,14.549941,,,,,34.405271,,,,,1.195013,0.084873,0.005714,0.051531,,,,,,-0.199090,,,,5941760.000000,
2015-01-26,14.190000,15.580000,14.020000,15.560000,713700,0.000000,0.000000,14.190000,15.580000,14.020000,15.560000,,,,,14.716861,,,,,51.547688,,,,,1.232553,0.079213,0.105114,0.146647,,,,,,-0.114903,,,,11105172.000000,
2015-01-27,15.300000,16.000000,15.190000,15.640000,647000,0.000000,0.000000,15.300000,16.000000,15.190000,15.640000,,,,,14.867696,,,,,52.273749,,,,,1.190416,0.076114,0.005141,0.149155,,,,,,-0.110353,,,,10119080.000000,
